image_name,y_true,y_pred,prob
Colpo_01.jpg,0,0,0.4335331
Colpo_010.jpg,0,0,0.40876874
Colpo_0100.jpg,0,0,0.42203802
Colpo_0101.jpg,0,0,0.42753986
Colpo_0102.jpg,0,0,0.4153693
Colpo_0103.jpg,0,0,0.4262894
Colpo_0104.jpg,0,0,0.43642673
Colpo_0105.jpg,0,0,0.42845425
Colpo_0106.jpg,0,0,0.3719737
Colpo_0107.jpg,1,0,0.41350862
Colpo_0108.jpg,1,0,0.40949443
Colpo_0109.jpg,0,0,0.40912312
Colpo_011.jpg,0,0,0.40639395
Colpo_0110.jpg,1,0,0.41921142
Colpo_0111.jpg,0,0,0.44027367
Colpo_0112.jpg,1,0,0.43545082
Colpo_0113.jpg,1,0,0.4139914
Colpo_0114.jpg,1,0,0.42810187
Colpo_012.jpg,0,0,0.42291868
Colpo_013.jpg,0,0,0.4377901
Colpo_014.jpg,0,0,0.4260095
Colpo_018.jpg,1,0,0.4217302
Colpo_019.jpg,1,0,0.42940268
Colpo_02.jpg,1,0,0.43252248
Colpo_020.jpg,1,0,0.3984323
Colpo_021.jpg,0,0,0.44570863
Colpo_022.jpg,0,0,0.406057
Colpo_023.jpg,1,0,0.41754553
Colpo_024.jpg,0,0,0.43489888
Colpo_025.jpg,1,0,0.4018839
Colpo_026.jpg,0,0,0.39574265
Colpo_027.jpg,0,0,0.42257303
Colpo_028.jpg,1,0,0.41013452
Colpo_03.jpg,1,0,0.4263664
Colpo_030.jpg,1,0,0.42682496
Colpo_031.jpg,1,0,0.42236525
Colpo_032.jpg,0,0,0.42743734
Colpo_033.jpg,0,0,0.40257004
Colpo_034.jpg,1,0,0.4165833
Colpo_035.jpg,1,0,0.428734
Colpo_036.jpg,0,0,0.43442318
Colpo_037.jpg,0,0,0.43738985
Colpo_038.jpg,0,0,0.4303577
Colpo_039.jpg,1,0,0.430432
Colpo_04.jpg,0,0,0.43951702
Colpo_040.jpg,1,0,0.40578094
Colpo_041.jpg,0,0,0.42356098
Colpo_042.jpg,0,0,0.42240268
Colpo_043.jpg,1,0,0.40851423
Colpo_044.jpg,0,0,0.4361464
Colpo_045.jpg,0,0,0.4265189
Colpo_046.jpg,0,0,0.4187332
Colpo_047.jpg,0,0,0.4315834
Colpo_048.jpg,1,0,0.40872723
Colpo_049.jpg,0,0,0.41809526
Colpo_05.jpg,0,0,0.43646964
Colpo_050.jpg,0,0,0.41856256
Colpo_051.jpg,0,0,0.4092311
Colpo_052.jpg,0,0,0.42658532
Colpo_053.jpg,0,0,0.42238346
Colpo_054.jpg,0,0,0.42521623
Colpo_055.jpg,0,0,0.43919015
Colpo_056.jpg,0,0,0.41994375
Colpo_057.jpg,0,0,0.42929953
Colpo_058.jpg,0,0,0.4268212
Colpo_059.jpg,0,0,0.42259738
Colpo_06.jpg,0,0,0.42001358
Colpo_060.jpg,0,0,0.41962558
Colpo_061.jpg,1,0,0.43374163
Colpo_062.jpg,0,0,0.41058353
Colpo_063.jpg,0,0,0.422189
Colpo_064.jpg,0,0,0.41162908
Colpo_065.jpg,1,0,0.41665837
Colpo_066.jpg,0,0,0.41807717
Colpo_067.jpg,0,0,0.43102312
Colpo_068.jpg,1,0,0.41249228
Colpo_069.jpg,0,0,0.42081428
Colpo_07.jpg,0,0,0.42507428
Colpo_070.jpg,0,0,0.41572452
Colpo_071.jpg,0,0,0.43404
Colpo_072.jpg,1,0,0.42375007
Colpo_073.jpg,0,0,0.4166321
Colpo_074.jpg,0,0,0.42048067
Colpo_075.jpg,0,0,0.40052566
Colpo_076.jpg,0,0,0.4210203
Colpo_077.jpg,0,0,0.42496622
Colpo_078.jpg,1,0,0.42981538
Colpo_079.jpg,0,0,0.4232922
Colpo_08.jpg,0,0,0.41253066
Colpo_080.jpg,0,0,0.4072225
Colpo_081.jpg,1,0,0.43018398
Colpo_082.jpg,1,0,0.42764783
Colpo_083.jpg,0,0,0.40695575
Colpo_084.jpg,0,0,0.41748402
Colpo_085.jpg,0,0,0.43105102
Colpo_086.jpg,0,0,0.41789895
Colpo_087.jpg,0,0,0.4236439
Colpo_088.jpg,1,0,0.4106652
Colpo_089.jpg,0,0,0.40446892
Colpo_09.jpg,0,0,0.4363141
Colpo_090.jpg,0,0,0.42708567
Colpo_091.jpg,0,0,0.43680093
Colpo_092.jpg,0,0,0.41389146
Colpo_093.jpg,0,0,0.41297096
